testId,41,61,81,101,141,161,181,201,timeSpent,uid
73125,4,4,4,4,2,4,5,5,82,c3f43348033273da9833
73071,,7,4,5,1,7,,,71,a47b9ceebdecc00944e7
73457,2,2,,2,2,3,5,5,86,7f7f063998c4a6079c30
73227,3,2,3,1,2,3,6,7,80,dbc539faa9d0b3c1973c
73691,6,2,2,4,3,6,6,4,106,01c5dfb1014cac7404ec
73742,5,4,2,4,5,4,3,4,71,51726952ae55f964d148
73745,3,5,4,3,5,5,7,7,64,77480f94862f4f3fd6ef
73750,5,4,3,4,4,3,3,3,108,8d22823969b94bd4a12a
73858,,2,5,5,1,5,7,7,65,5a38e40dbb9b9ee12bcb
73865,6,2,4,2,2,7,6,6,71,70ea9eba9da1e3fed0d3
73881,6,2,6,4,1,5,4,4,77,6811753009746371da11
73901,5,3,6,3,2,5,5,,82,a4f62984a887f0ff79da
73915,6,5,4,3,2,5,5,6,71,57e17698456bbb61abdb
73946,4,3,4,5,3,5,5,5,75,36f916d7d495e05b6881
73954,6,,5,5,3,5,5,6,67,45f9f2677959c180d286
73987,6,,4,5,2,5,,,52,ae526ff58eb4258560f0
74012,5,7,5,6,,4,4,4,76,8e341d9403e86f480740
73458,,2,4,,,,,,57,60ff9b186a10f18885d8
73565,,1,1,2,1,7,5,6,62,df13cbd99bb7ba46af3b
74236,7,1,5,2,4,5,5,7,105,8cb7c4efa0acb9b1cc76
74243,7,3,5,2,4,6,4,7,62,8cb7c4efa0acb9b1cc76
74252,5,2,2,2,2,6,,7,51,c1ab666be202d8e233f4
74294,7,1,1,1,6,2,7,6,107,00fbb44534c8bc10d747
74307,7,2,5,5,2,6,2,3,125,db6dfd111bb01a5cfb96
74315,6,1,2,2,4,,6,6,66,3cd0021f1087c6c6b4a1
74331,7,2,3,4,4,4,3,3,80,903f4e3dc72bb5bb2c93
74334,6,,3,4,1,7,5,6,81,f1590d19ca5e74c533d1
74342,7,4,6,7,2,7,5,6,66,8d4c62402b24fb8183f4
74358,3,4,,3,2,3,4,5,68,0d1f782c5b094c017020
74365,2,,3,4,2,3,3,4,59,982eaf57e081cea1baa4
74372,2,3,4,4,3,4,5,3,56,982eaf57e081cea1baa4
74395,5,4,1,2,1,3,7,6,67,2e2a1f5ada2a89415980
74420,6,1,4,4,1,4,5,4,72,bed7df2f30729627e57a
74425,6,2,4,4,2,6,4,4,58,7bd917a4a9b5a2a0873a
74470,5,7,1,1,7,1,7,7,66,250707bdc9a49d328203
74479,6,4,3,2,2,6,7,6,56,894d14d81255c60eca48
74497,5,4,5,5,2,4,3,4,85,19612729814b565addc7
74501,6,4,2,5,1,7,7,5,231,36c67b5a93cda7a978c8
74502,6,6,2,6,1,7,7,,62,36c67b5a93cda7a978c8
74514,7,5,3,5,3,6,5,5,138,d45a2448bae151f6da9d
74516,6,1,5,2,1,6,7,7,73,07f6dd1d8cfea62b2145
74520,6,5,3,5,5,6,3,3,65,095398b296f432eeb09e
74546,6,4,5,4,,4,5,4,67,102d9662f52e453ab9be
74569,5,2,5,4,6,7,5,5,60,c4db79152ce0e710b9bd
74576,7,5,5,5,3,5,6,5,61,ad33e5089fa0dcc97b8a
74582,7,7,1,4,4,6,5,5,84,d80ffe77c370e683b114
74619,7,,,4,5,6,5,5,111,a33586edf063cc0988ff
74645,7,5,4,5,2,6,5,4,95,14df60f26004c7332f82
74652,6,5,4,4,2,,6,5,59,5d239f90f9481f246f8b
74670,6,6,3,5,2,4,5,4,62,55c5d27a4f3d4bf8a37b
74681,6,,2,4,7,6,6,4,70,e357766b6dbe12b57b9d
74691,,,,,4,6,2,5,61,7a5046c7049ca6e1990e
74736,4,5,4,6,4,6,4,4,74,257fdfbd6a184c719214
74753,7,4,2,2,5,5,7,7,83,acbfee1bb4a338ea9c04
74776,7,2,5,3,2,3,3,3,91,92085b03d5760f107e9a
73863,7,,,,,,,,16,08bacad473caf5319216
74794,7,,7,,5,7,4,5,146,330f998eb3e499bd6365
74931,5,4,5,5,4,4,4,5,59,600a847aa7df3f80d242
74949,5,5,4,4,2,4,6,6,75,d1a52b43b1fb3547a7e2
74956,7,7,5,4,4,5,5,5,69,5421d5802c8d377152d8
75022,6,3,7,4,,6,6,6,85,ad4e28fb30b4c8da7c2d
75041,6,,3,5,1,5,6,6,85,9a84760f012f6ea37ac2
75042,6,4,4,4,1,5,5,6,59,9a84760f012f6ea37ac2
75047,4,7,2,1,1,7,5,7,75,a694dea105846e6e29fc
75073,5,6,2,1,2,4,7,7,68,d8e5c0f06e566b1a8a09
75110,6,7,1,1,2,6,7,7,63,d8e5c0f06e566b1a8a09
75119,5,4,3,7,7,5,4,5,70,aa5edaf8c9e3286ef269
75124,6,2,5,4,7,7,7,7,65,aa5edaf8c9e3286ef269
75125,2,3,4,3,3,6,5,6,85,bb3ca6dd6b631a5fc706
75146,6,2,4,6,2,6,4,3,181,791a742e553ba220504e
75159,5,2,2,4,2,6,6,6,74,39baa023ebc6ae9d22de
75184,6,1,2,4,2,6,4,4,63,df8bbd50eb541e40c5a1
75212,7,7,7,7,1,1,1,1,81,4dd049fc208385a14464
75229,6,4,5,,4,4,5,5,83,72b83f1117bcabc9d68f
75251,7,3,3,2,6,3,3,2,75,779dcec5e4334a35fb54
75264,5,3,3,4,3,6,6,6,66,981989592ad1273caaf7
75279,6,2,3,4,1,5,6,6,92,7f143acfa575bc0538f5
75283,7,2,2,2,1,6,6,6,66,4400968fe917a17e9adf
75284,7,1,4,4,2,6,6,6,69,194e27b1205bb7ccfa9e
75281,5,2,6,4,2,6,6,6,420,0d51187694788a75e24b
75312,5,3,5,4,1,5,5,5,87,3657a70b078844343300
75342,,4,4,4,1,4,5,5,107,ea9bead69ea58611126d
75344,6,5,2,4,2,3,,5,58,ea9bead69ea58611126d
75355,7,1,3,3,1,7,5,5,59,0d51187694788a75e24b
75367,7,4,4,6,3,5,,5,98,138e443fc68d01581e62
75381,6,2,4,4,5,7,5,6,65,8b8bab7d069b5b35d76d
75393,6,2,4,4,6,6,6,6,63,dd6051586facd6feb653
75440,6,7,4,6,2,2,2,2,105,649779fd907e17fb1281
75562,6,3,1,2,2,5,6,5,84,b1a48a4d886a407747f8
75564,7,4,5,2,5,6,6,7,86,31316e7617b6daf00c58
75590,5,5,5,3,1,3,2,6,120,d5c8fb454a17e9570260
75597,6,7,5,6,1,4,5,7,96,d5c8fb454a17e9570260
75610,7,7,1,1,1,1,1,1,60,cec06aad7059d3554e4a
75660,,,,4,3,5,6,,63,b59e901f0b18d16fb680
75671,6,2,3,3,5,5,4,5,89,7423d2cd524535bbc17f
75694,5,2,4,4,3,7,6,5,84,11ef6efb95178d3881dd
75699,7,3,6,6,3,7,7,7,76,6195cc3d214807c7f76a
75713,6,2,,,,4,6,7,65,734ce1f1e380272eb198
75720,3,2,4,3,3,6,6,6,62,bb3ca6dd6b631a5fc706
75750,5,3,4,4,2,7,6,5,64,8b4a232bc29b33689273
75770,7,,6,6,3,,6,6,72,46c9647a0d12a677379d
75779,5,5,5,,4,5,2,,330,71a06f4846aacc82f6ad
75783,7,5,7,7,3,5,7,6,70,53fdcae9762032216210
75787,4,6,2,2,2,3,7,7,76,71a06f4846aacc82f6ad
75811,5,3,5,5,5,5,5,6,88,b2f14ccee89e888bee02
75823,6,1,4,3,,7,5,5,89,96a1bf653e96b1c7f75f
75832,5,3,4,4,2,5,6,4,65,63d12048eed06023814d
75853,7,,2,2,5,5,2,7,116,929891f054e0630ba426
75876,5,6,1,1,4,6,7,7,74,70b4bb33da2f9fcc2a85
75883,7,1,1,1,4,6,6,7,65,65c7352aa286638b380e
75892,6,4,4,2,2,7,6,7,82,b775d7b303d0d025f6b0
75909,6,4,2,2,2,7,2,6,60,5208cc0535cdc11683bd
75921,7,2,6,6,7,7,5,5,73,fb45226389be9cb96bc0
75938,4,4,4,4,5,6,6,5,60,830c0d50e584312076af
74312,5,1,3,4,6,1,,,83,5a06491d7987a4af844b
75985,6,1,5,2,2,6,6,5,81,255ae701bf2f6b6e2b1f
75987,7,1,5,5,2,7,4,3,63,001e224a847750ec3d3b
76001,6,3,4,3,2,6,6,3,122,3fcab5f739eef9f53ed6
76002,5,3,5,6,2,6,2,2,65,1d6851b14c0879259e53
76021,7,2,6,6,1,6,6,6,65,4bc9da834318df9bbfe2
76020,6,3,4,3,6,6,6,6,64,aa1580df27a34c9c67ff
76054,7,3,,6,2,6,5,,59,46c9647a0d12a677379d
76055,,5,5,5,2,7,6,6,61,92952adf02e2ae28bf25
76057,4,2,2,3,,7,6,6,79,ed8f284f101b434c16ba
74346,,,,,,,,,13,ccb4ad30f68a1a7c5d2e
76060,6,3,6,4,4,,4,5,93,6347a6326bc8fbb2cc04
76088,6,7,5,4,2,4,5,6,72,698464d5e720ecc6f7cb
76125,4,3,2,2,2,5,6,6,74,ec823742e5032813d8e4
76157,7,5,4,4,2,5,5,6,66,300890164c02e45eaec5
76179,6,3,2,3,2,6,7,7,56,f6956774bbe23e1cffd1
76188,7,4,6,5,1,4,5,7,56,f6956774bbe23e1cffd1
76197,6,,3,4,3,7,5,4,82,d592ca8cea0a0d921707
76224,,5,4,3,,4,4,6,64,d033e6311e9e6341933d
76228,4,4,4,4,4,4,4,4,73,2890298ec53ff6ddab1a
76238,5,2,2,4,2,6,6,4,76,2840b241a2cd4af746c4
76249,7,4,4,3,3,3,4,5,109,c461ad576c6fd191eb3b
76254,5,2,5,6,3,6,7,,89,59946e5c438b1818551b
76304,7,5,3,1,7,3,7,7,80,467ec70e06c3ea4c8c67
76307,5,2,2,2,2,7,6,6,94,ff9c43e64a9db8edff8f
76299,7,6,5,4,4,5,6,7,34,b7c263c83e668cda3882
76317,6,5,3,2,1,4,6,6,63,7c8bdbe267c267e97022
76330,6,2,2,2,5,7,7,7,97,4d355cba95487e97a829
76337,6,4,4,5,4,6,6,6,73,23b8c46439c81045a9fd
76339,7,4,4,5,6,6,6,6,62,23b8c46439c81045a9fd
76362,7,4,1,1,4,6,7,7,58,4d355cba95487e97a829
76366,6,4,5,5,5,6,6,6,62,af95a6f1fdb1d5ea2e47
76367,7,4,1,,3,7,7,7,95,23416ba818ea0382d9cb
76388,4,1,5,5,2,7,4,4,64,612db9565ff134981984
74512,,,,,,,,,11,d739dcbd0b472599e125
74527,,,,,,,,,9,07325a4e8add2f05b0cc
76402,5,6,6,5,4,6,5,4,69,0f21ee310c0ec4b7a801
76407,6,7,6,4,5,7,6,6,77,89718edfc964239ce17a
76414,,,3,1,4,5,,6,112,1454b09f4100741b6f59
76415,2,4,5,7,3,5,5,6,76,1454b09f4100741b6f59
76418,7,6,6,5,,5,6,7,58,9bae83ec357d2b8a4f5c
76423,6,4,2,2,2,5,5,6,66,34101a1c14f5ba3083aa
76434,7,3,5,6,1,7,7,6,46,bfa04e59e7a5f11411e3
76435,7,3,5,,6,5,5,5,59,bfa04e59e7a5f11411e3
76488,6,5,3,2,5,6,5,6,73,62818b3baff7075e5c62
76501,6,5,4,2,6,6,5,5,66,62818b3baff7075e5c62
76504,5,3,4,5,2,6,4,4,71,7f80624c8d416db4d6a5
76509,5,2,4,6,2,7,5,5,94,caa01dd076cad7146770
76521,6,2,4,4,2,7,5,4,64,3fee5e414ac6db7ed7ac
76536,5,6,3,6,3,6,6,6,103,1b48bc332adea88d3dc7
76558,6,4,4,5,2,5,6,5,68,fdff4657a69c8c579ad7
76559,7,5,5,4,1,4,5,2,60,fdff4657a69c8c579ad7
76561,4,3,5,5,2,5,5,3,84,e145e40b4e619876ca96
76593,7,,2,2,7,7,7,6,97,5f4cda34c82d198c48a4
76595,7,3,2,2,1,6,3,3,73,471d5f86f8c323c1a92e
76617,6,1,5,4,3,7,4,5,81,facbd0a03479a10dedc5
76641,5,3,4,4,5,3,4,4,134,58af2a7fdb7fbc5087ab
76652,4,3,4,4,1,2,5,3,71,c17516bd848bc473da56
76656,5,2,3,3,1,6,4,4,63,58af2a7fdb7fbc5087ab
76659,,,,2,2,1,7,,209,b30602c3ce9aaa1ee05b
76662,7,3,5,5,3,7,7,7,99,66c7bb36496185b3c02a
76671,6,4,,3,,6,6,4,75,f037382018b046b6974c
76676,6,4,,4,,6,6,5,95,f4733206b376faf50c14
76695,7,7,4,6,7,7,4,6,87,feea6219de12ccbccedd
76706,6,4,4,3,6,3,4,4,82,22b6a8f4b8480bf535fd
76723,7,2,6,6,2,6,7,6,72,8d200eb61933b4e0518d
76724,7,2,6,6,2,6,7,6,58,8d200eb61933b4e0518d
76734,3,6,3,5,3,6,6,5,68,c3d4a2f4eacb3cce55a1
76773,,1,2,3,,7,,4,90,cf83757c2da4fdbc672d
76808,6,2,4,4,2,6,5,5,77,0039d3a8143f7e99f8e1
76812,7,2,5,5,2,5,6,6,62,0039d3a8143f7e99f8e1
76814,4,4,3,3,4,4,5,4,106,59c82936d8373b52de47
76813,6,3,3,2,7,,6,6,100,036cd22afeffb079ab3c
76819,6,,3,3,2,6,6,6,64,b11a1a3b3665965fab06
76828,,,,5,2,6,,6,95,474bf494cc2862d09043
76843,7,3,6,6,2,6,6,6,63,4f4361f64aa2c33b2e69
76857,7,,3,3,1,3,5,4,83,61c558fd40e63d897ae0
76859,6,4,3,6,3,3,5,4,60,1b48bc332adea88d3dc7
76877,4,1,5,4,3,7,7,7,66,3d7b01c1b702c8c439e7
76893,7,4,2,2,3,5,6,6,64,14fc8690a5502ba387e2
76916,7,2,2,1,2,7,7,7,66,14240521279f77c3e2b0
76920,7,1,1,1,2,6,6,7,57,14240521279f77c3e2b0
76924,5,6,5,7,2,4,5,6,71,7eff56ecfbe19d8db2b3
76965,7,5,3,3,3,6,7,6,40,14fc8690a5502ba387e2
77002,6,4,2,3,5,,6,,66,09cf6a2448bfe9250b94
77003,6,4,3,2,3,,6,5,58,09cf6a2448bfe9250b94
77039,5,1,3,3,,7,6,6,117,941188a8fc36f1f00e4f
77046,4,4,4,4,3,5,4,6,84,67efa95283df21e77d94
77099,4,4,4,4,2,3,4,4,61,5e22be04971c53487389
77106,6,2,3,3,2,5,6,6,69,9a4cf0b7b03fe3c5767b
77107,6,5,4,4,2,3,4,5,77,ea9bead69ea58611126d
77113,6,5,4,3,2,3,4,5,59,e8db074432b497daff91
77118,7,5,3,3,1,2,5,4,60,ac9ce46f28578a9e74a8
77143,7,4,5,5,1,6,6,6,66,61ff56b129b8a62574bf
77130,7,1,6,3,5,6,6,6,79,c051ed1b4358c2704fd9
77154,7,2,4,4,6,7,6,5,63,c051ed1b4358c2704fd9
77164,3,3,3,4,3,4,5,4,73,527d91320bf4b7460b28
77202,,2,,2,4,6,6,6,79,8b1b7f204a0f052dfd2c
77214,5,3,2,3,2,7,5,5,66,90c9b8e5da32189b9da7
77243,2,2,3,3,3,,4,4,111,fe4ccf133d2e5818095f
77266,7,3,3,2,2,4,5,5,86,1a1d896fa3c2fc05aa28
77283,7,,3,4,1,5,5,5,60,036cd22afeffb079ab3c
77297,6,3,2,4,,6,6,7,99,ac253ffc84d829de35b3
77324,5,4,5,,,3,6,,63,bdff23b6f8fe8619c4c3
77325,6,4,4,5,1,5,6,6,65,bdff23b6f8fe8619c4c3
77349,2,2,4,5,4,5,5,5,57,527d91320bf4b7460b28
77358,2,4,3,2,3,3,4,5,39,b11a1a3b3665965fab06
77381,,1,4,4,1,7,5,5,61,f94a5436ffd4dd2e45b4
77407,5,2,2,2,4,5,6,6,80,0c77107ed457ce58e270
77411,4,2,4,4,2,6,5,3,82,50dd7dec1ed442b41b13
77440,7,4,3,5,,2,6,4,63,66b83567e6790bd69108
77463,7,5,3,1,3,6,3,7,70,58461bb326d4686e277a
77506,7,7,3,1,1,4,7,2,70,a0d120402dd2f4043057
77520,7,,6,2,5,6,6,6,84,d12ffd412a26683478ad
77549,5,3,4,4,2,5,6,6,92,954ae51a4fdfea5fa045
77550,6,4,4,4,1,4,5,6,55,954ae51a4fdfea5fa045
77561,5,3,4,5,,5,5,5,77,c5794340c46e1daff9ee
77596,5,4,5,4,2,4,5,4,63,b6ef2d069b7616510f12
77606,7,5,6,6,1,3,6,6,64,111b872ebede0068c320
77609,7,3,6,6,1,3,6,6,59,e838a3a13f677c0411d6
77623,7,3,3,3,3,,,3,71,14fc8690a5502ba387e2
77669,7,3,3,3,3,6,6,6,62,c279f8f6e53adec18f44
77670,7,5,3,4,2,5,6,6,71,3c8356a168244c2d2fe4
77678,7,4,4,5,2,5,6,6,59,955814bc3b50bebc57b9
77691,3,3,2,1,1,4,5,5,72,e1d4e0b9d6be2f01ba67
77684,6,2,5,3,5,6,6,6,71,2bb35ea2939bc63c0820
77714,6,6,6,6,6,6,6,6,57,2bb35ea2939bc63c0820
77742,7,1,,4,1,,4,5,65,e1d4e0b9d6be2f01ba67
77858,6,2,4,2,2,7,7,6,65,aeda77e7641df21e39ce
77863,6,4,4,5,1,6,7,7,70,1bec5f3a45b3b6a4a543
77882,7,2,2,2,2,6,6,6,57,7c8bdbe267c267e97022
77891,6,3,6,4,5,4,3,4,62,95a78560a485003d8871
78035,5,2,4,5,5,6,4,4,63,3871f6cebab7cfe1efa1
78063,5,3,6,6,3,6,4,3,82,a9da76bd52699c746cc8
78149,6,2,4,4,3,5,4,4,62,7a2799c1eef5b4a6a7d4
78315,,3,2,,,,5,5,86,6f32f626f5df65839620
78335,6,,4,4,6,7,5,6,68,712d3415fc8dec7ad66f
78454,7,3,4,1,5,5,4,6,93,3ee31ae14d6e84819d35
78463,7,2,2,1,2,6,6,7,60,3ee31ae14d6e84819d35
78477,5,3,2,3,3,5,5,5,78,047053a479df7a748ab2
78492,4,3,5,5,1,5,6,6,75,64ee3492757e64b0ca28
78559,5,4,5,5,,4,3,3,82,a20c885e5d58182f2d0f
78664,5,3,6,5,1,6,,6,68,2683ddb51ff1cd63aef5
78672,6,5,5,5,2,5,,5,65,daeb8a598a6537688002
78724,4,2,3,3,4,4,5,3,85,9e396c4b3f0ee9ae1ab1
78741,6,1,4,5,6,7,4,5,67,712d3415fc8dec7ad66f
78819,6,2,5,5,2,5,5,5,92,8cafbc172fb1ad1f8b91
78885,2,5,3,3,2,4,6,5,59,5870f03a14ce993206b2
78973,6,3,5,5,2,6,5,4,80,05d79f76b8bd93c131df
79070,5,2,6,4,4,5,4,3,66,65b259437d154a0ec137
79065,3,2,4,2,4,4,6,4,74,e631aee8213d6e9eb793
79091,3,2,7,4,,7,7,6,71,d4f741380b46c7466205
79108,6,,5,5,3,6,7,5,87,caee86db4b512750219d
79081,4,4,7,7,2,4,5,3,77,f456722d91f66e641751
79123,7,4,5,6,3,5,5,3,70,5e94d21ce38b35f8cba2
79125,6,2,5,6,2,6,,5,74,caee86db4b512750219d
79200,5,2,5,6,2,6,7,5,62,b63008ea9c39ef7c7a0f
79278,7,4,4,6,1,5,5,5,60,a9fe5a02478e381b840b
79287,7,4,4,4,1,4,4,7,62,dd33cceeae3cafcf821b
79332,6,7,1,1,7,1,1,1,59,982e0c49881a3921012a
79337,5,3,5,6,1,4,5,7,80,ed8e8550aa60c8feefa0
79381,7,3,4,2,3,5,6,7,68,0eb7bfc7ae971f2db33b
79406,6,4,4,5,3,5,5,5,66,3d76c8980c27f0719ae3
79454,6,3,5,5,2,5,6,6,61,9a1947faf8d3b257d4ed
79509,6,4,4,4,,6,6,6,73,b645c578a209222dae7f
79512,6,4,4,2,1,4,7,7,84,00a3f40599eed371c381
79502,6,7,3,2,,7,7,5,186,ae06edeec797d113a40a
79526,7,4,5,4,1,1,7,7,61,00a3f40599eed371c381
79521,6,3,7,6,1,6,2,3,101,7705be00367b46c0ce1c
79595,6,3,4,5,3,6,4,4,69,da13341e638c06067456
79691,7,1,6,3,1,5,4,6,70,2c4890db386c704cd6b4
79886,7,5,4,4,2,4,4,6,77,a3e676c7809ce10253b9
79888,4,3,6,5,2,3,4,3,78,02edcb045ff243cfd185
79899,7,5,6,4,3,5,4,6,63,f4a90f3fd9f9c5fa2efc
79897,6,4,5,2,2,1,4,3,73,5d94a76f1fcd6c706f15
79919,6,3,6,2,1,5,2,6,66,77a1aa3e4014b5c16165
80020,5,3,5,6,2,4,5,6,58,cc5cd226d565c72e3f93
80090,7,4,2,3,1,3,6,5,65,b74d920ca1c9d3ff1abc
80143,7,,5,2,7,1,5,3,126,d224a08b3e60f8f56b80
80161,2,4,7,6,6,7,7,2,57,9e396c4b3f0ee9ae1ab1
80160,6,3,4,4,2,5,5,4,60,07832632bb41452a59cb
80162,6,2,6,5,2,6,3,3,78,ce99195156e9cb6a9e5c
80192,3,4,6,6,2,6,7,7,58,5870f03a14ce993206b2
80182,7,7,3,3,1,2,2,4,60,878f94c55f062dfc3127
80216,7,1,1,4,1,6,6,5,83,a54f16e2f086ca477323
80239,7,2,,2,1,6,7,6,91,1ead1e80e8bc293a8bf8
80260,6,2,6,4,2,6,3,4,67,5ec2b303f7c0e48886cb
80288,4,5,3,4,3,5,5,5,72,d33f1c97d45338e77bbc
80308,7,1,3,5,1,7,3,3,95,fc2a5b570ddbc1fce41d
80318,6,4,,4,2,,5,5,68,3ae9a0e4d745775598dd
80452,5,4,4,5,4,5,3,3,66,6ba03fd26901dc198ffa
80441,6,,,,6,5,,,72,218f0bed8a8f7c7af4d4
80524,,3,4,4,1,5,5,4,120,464c043903703ec2049a
80535,7,1,7,7,1,7,4,4,69,fcf4e677633d038af165
80619,5,2,4,5,2,6,4,4,69,e61b901f67fb5ad3720f
80611,6,5,6,6,5,6,7,7,69,9c455bcd89ddd633ff80
80609,7,3,5,2,2,6,5,7,70,2acb9c4edc705b2081e6
80735,5,5,4,6,4,5,6,4,136,bad6326c80bf91ae4cd3
80777,5,2,4,5,5,6,7,5,75,84228104e390bf17e774
80861,5,5,5,7,3,4,4,,238,2b0065260057da2e79d8
80915,4,3,3,3,4,4,4,4,63,218f0bed8a8f7c7af4d4
80918,7,1,4,5,1,7,5,5,79,0a4d12396aeb0b3e249e
81027,6,3,4,4,1,5,6,6,109,184be41eb2a013ba74bb
81068,7,2,5,6,2,7,7,3,118,3a73bfdf8fc7dd649286
81133,7,3,5,7,2,7,4,1,114,758b6cc2aa85c114f8e4
81108,6,3,,,,7,7,3,69,8f79010285881a32b631
81195,6,2,6,6,2,5,4,2,67,9d2542e5dc1ead19bb39
81204,6,2,7,5,2,6,3,5,64,9714b9f47181f95893fb
81309,5,3,6,6,2,5,3,4,62,a7c3463c121c1f7540b6
81360,4,2,6,5,1,4,3,,87,098e2c495c922e00bece
81357,6,2,7,5,1,4,3,6,76,899d7c9602f51f80eadc
81403,6,3,5,3,5,6,6,6,73,e002bc415b415d108eb6
81413,5,4,4,4,5,6,7,5,67,3fa3733547e3f045f3d4
81554,5,3,3,4,2,5,6,6,89,418525c6fdbc10f638dc
81557,7,2,6,5,1,,,3,107,94a46132feebbd3a6759
81639,7,2,5,5,1,5,5,4,64,922b97c22a4042616ef8
81721,7,1,4,3,3,5,5,6,64,7de6110bad19ca5d206a
81720,7,3,3,3,2,5,6,6,85,c5866bf3e9be155fb744
81782,7,3,4,4,4,5,5,5,67,e36c4e86f5b17eebcf6f
81793,6,5,5,5,3,3,3,3,57,e36c4e86f5b17eebcf6f
81815,6,3,4,6,2,5,6,6,86,05265a4723b9ed47e479
81823,6,2,4,5,2,7,5,2,82,6fcd47017db6dbd60ce3
81802,7,,5,,3,3,3,3,63,36e9b2042f2cf6f4d3e8
81861,7,,,,,7,7,4,114,61a739bfa5100d02985e
81920,7,3,4,4,2,6,4,4,58,36e9b2042f2cf6f4d3e8
82071,6,2,5,6,2,7,5,5,64,47818b7fb11fbe92ce42
82120,5,3,5,5,2,5,4,3,69,782a4b1b604b8691d383
82159,,5,5,6,2,4,4,3,78,bd5d5ceeaac16e485208
82173,6,2,4,4,4,6,3,3,66,6e04781b96c79313bb76
82416,5,7,3,1,3,6,7,7,68,ea1179aecd6db9cb5c80
82508,6,3,6,6,1,5,4,5,69,acd92006c1389702727f
82550,5,5,5,,3,,5,5,64,8f950808729e43e7dfa4
82646,,6,3,7,4,7,5,,100,b62ea87587bcea156c28
82648,7,4,2,3,2,6,6,7,80,4d4fa625d9463d33f74b
82663,6,4,6,6,2,5,3,4,76,a7ef326e776411f35592
82670,3,4,4,5,4,5,4,5,94,a26a8f0da71a14cfc922
82681,7,2,3,5,2,6,7,7,68,6af46aac8c125094feb3
82755,6,3,5,6,2,4,6,5,76,af798d3455a77be995df
