testId,12,4,timeSpent,uid,chain
92345,,1,41,60d29b2b4dc41c69e729,
92355,,1,50,5b0dbff043143e451ef4,275
92370,1,,57,0560b1b506232b55d691,
92404,,1,28,7b5a41b5f01a927b8fe3,273
78340,,,2,a6a89a429fb5deb60143,
92427,1,,7,0560b1b506232b55d691,
78917,,,8,d6b3439e0e87cad426f3,
79058,,,8,c69190c1c16f2d223f4d,
79232,,,7,78859706823ae662a078,
79709,,,4,2eb55b972be9cf9239f9,
80028,,,2,d6b3439e0e87cad426f3,
80159,,,5,ad7e5c54b7c066f87412,
80419,,,14,f9180d9208a3ee1c8798,
92475,1,,46,7ee0c5bae99707b6b52a,158
92503,,1,53,9a13896bf75da954a736,
92507,,1,19,9a13896bf75da954a736,
92519,,1,54,30fc4406d5f36689437f,436
92530,1,,55,293c1553c40d0e67b0d6,324
81000,,,10,51d2fa7d46020369f800,
81079,,,7,74bd217cc9e37c428f61,
81241,,,9,28a25e0fb210850cc93b,
81834,,,10,648e381d675f66cf0ec9,
92600,,1,7,5b0dbff043143e451ef4,
92609,1,,6,5b0dbff043143e451ef4,
92615,,1,61,0553573dddca5090145a,401
92667,,1,8,bb2b2f2ace786caecdfc,100
83647,,,23,fcd753ff221f435fc352,
83805,,,13,a6a89a429fb5deb60143,
92744,,1,37,5c5e7decc1447b2a1b9a,249
84016,,,6,dfc8310106a9864abf68,
92909,,1,51,83dc7c49011ac83eec20,316
92915,,1,6,aa89f42705a5440cf7cc,
92920,1,,7,aa89f42705a5440cf7cc,
92922,,1,6,aa89f42705a5440cf7cc,
84957,,,9,1d4c0735302f79f1f3df,
92965,1,,55,6263e7ee01bb9fb59677,89
92974,,1,38,d8885e2eecbbfe966144,
92976,,1,5,d8885e2eecbbfe966144,
85364,,,7,a6b7d720dafa5d9524f3,
93010,1,,57,dc9b9030ebc27bb5ca79,266
86022,,,10,2ffe7914ae4343151a13,
86499,,,10,72d6b8e6fd1f658859d5,
93101,1,,38,f51ad2cba34e61f0a272,135
87115,,,12,d585211854bbf5f33cb6,
87223,,,6,2c148e543bc44118f737,
93277,1,,52,637cb26f04c707efa5a3,95
87839,,,8,dac4d4dd724576a0939f,
87905,,,5,44cfd7dcf17aa3c6b409,
93319,1,,66,5393cbd22650f613b453,149
88144,,,25,8fc774c024482fb283be,
88276,,,19,4354657f374dabad2b80,
88282,,,10,994b1668d6f2ec3795d8,
88666,,,8,d19c5f455d39b8db3a21,
93420,1,,67,6afa98af9dca45841275,321
93438,1,,106,47f0e89f7b8964fb908e,232
93468,1,,60,0f4de151c85460d74a1f,365
93496,1,,68,27f6e77bacabbcb885af,187
93548,,1,46,6de4d88f2d3c9b5ed94e,122
93567,,1,57,8a3b2ae8eae19044b353,80
93571,,1,7,8a3b2ae8eae19044b353,
89574,,,13,5b4bb1674e9a93f9c292,
93587,1,,53,19c99565121b38dbc901,450
93605,1,,43,0877002cbbfb145c1032,
93607,,1,29,0877002cbbfb145c1032,
93625,1,,9,c3a8a367b935111cddb7,323
90093,,,8,d7edaaa90ccbad8f8322,
90357,,,53,118401ee335f7e206162,
93729,1,,44,65fb838926622601bf1e,
93733,,1,27,65fb838926622601bf1e,
93760,,1,76,9492917bed7f2b954d11,
93762,1,,10,9492917bed7f2b954d11,
90675,,,12,21d7802f331a70abf592,
90856,,,2760,7d8c3ae8405f09ddfad2,
91222,,,10,6f7159d190f57dd8363f,
93881,1,,68,e93f463dffdb006d0265,82
93963,,1,43,6ec79a60db41d630b33b,343
93991,,1,32,4e8b18a29a0b4019a2a8,317
92080,,,16,60d29b2b4dc41c69e729,
94028,1,,7,e78ff7517a7907562e02,
92369,,,10,0560b1b506232b55d691,
92425,,,11,7b5a41b5f01a927b8fe3,
94058,1,,112,7354b032bf135914f9b9,418
94085,1,,56,334c6fbe9bdeedd14db2,112
94118,,1,62,c348e1d1d40809cdaa5e,98
94178,,1,51,f7ae14edae0eae7d80fc,
94180,,1,6,f7ae14edae0eae7d80fc,
92913,,,47,aa89f42705a5440cf7cc,
94219,1,,63,70a381e8775f1174f2bf,264
94223,1,,8,70a381e8775f1174f2bf,
94242,,1,28,236641095927fff4e5ba,211
94302,1,,45,0dd02463e255879f6f3e,451
93042,,,8,127e3bf6e09c42051d56,
94374,1,,57,b3f80b234d05256cc79d,
94376,,1,20,b3f80b234d05256cc79d,
94382,,1,43,6ba5155f30cac334d777,115
94444,1,,83,4be2a253b06f5e323bb3,182
94448,,1,7,4be2a253b06f5e323bb3,
94485,1,,57,64167ceab257b906cb57,241
94512,,1,78,ec0ff8554c37cfe8fa29,292
94557,1,,64,dc52234fce75557fd294,243
94574,,1,28,7945843d19dedb9aedef,415
94609,1,,80,be15b2200bdeabe70c50,410
94720,,1,102,c95ed68479f1c0df2ec1,207
94770,1,,68,64b1ded6d17d24a505fd,71
94802,,1,48,e6401a81bad0e95a4fb2,
94804,,1,7,e6401a81bad0e95a4fb2,
94812,1,,27,9f998921f94dfc3549d9,
94814,1,,6,9f998921f94dfc3549d9,
94824,,1,70,f028816dac8a6a4ab8c6,355
94832,,1,24,637cb26f04c707efa5a3,
94880,1,,6,e78ff7517a7907562e02,
94944,1,,51,0f5b5e92081699e28765,
94956,,1,4,0f5b5e92081699e28765,
95121,,1,37,62833c50b09feeb7daa8,304
95168,1,,42,4093bca287d03e18571c,91
94356,,,19,0dd02463e255879f6f3e,
94703,,,17,e78ff7517a7907562e02,
94708,,,9,e78ff7517a7907562e02,
94867,,,8,e78ff7517a7907562e02,
95005,,,199,e78ff7517a7907562e02,
95148,,,3,e78ff7517a7907562e02,
95248,,,24,e78ff7517a7907562e02,
